ID	plate_10_F7_S918_R1_001_profile	plate_3_H1_S200_R1_001_profile	plate_4_D3_S308_R1_001_profile	plate_5_C2_S395_R1_001_profile	plate_6_A2_S489_R1_001_profile	plate_7_B7_S626_R1_001_profile	plate_8_F1_S678_R1_001_profile	plate_9_G8_S831_R1_001_profile
Methanobrevibacter_smithii	0.0	0.0	0.00034	0.0	0.00666	0.0	0.03809	0.0
Methanobrevibacter_unclassified	0.0	0.0	0.00438	0.0	0.00487	0.0	0.0097	0.0
Collinsella_aerofaciens	0.0	0.0	0.0	0.0	0.0	0.0	0.00628	0.0
Bacillus_subtilis	0.0	0.0	0.0	0.0	0.0	0.0	0.05686	0.0
Staphylococcus_aureus	0.0	0.0	0.0	0.0	0.02181	0.0	0.16928	0.0
Staphylococcus_epidermidis	0.0	0.0	0.0	0.0	0.0	0.0	0.05026	0.0
Enterococcus_faecium	0.0	0.0	0.0	0.0	0.0	0.0	0.01592	0.0
Lactobacillus_amylovorus	0.00328	0.0	0.00115	0.0	0.00173	0.0	0.0	0.0
Lactobacillus_johnsonii	0.00741	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lactobacillus_plantarum	4.74918	7.87278	6.83933	4.64202	5.25374	6.38897	6.83313	6.2541
Lactobacillus_reuteri	0.01869	0.0	0.0017	0.0	0.00381	0.0	0.0	0.0
Lactobacillus_salivarius	95.18941	92.12722	93.14793	95.35798	94.44677	93.61103	90.49627	93.7459
Eubacterium_limosum	0.0	0.0	0.0	0.0	0.0	0.0	0.02126	0.0
Peptostreptococcaceae_noname_unclassified	0.02411	0.0	0.0	0.0	0.02454	0.0	0.0	0.0
Faecalibacterium_prausnitzii	0.0	0.0	0.0	0.0	0.00605	0.0	0.0	0.0
Subdoligranulum_unclassified	0.0	0.0	0.0	0.0	0.00609	0.0	0.0248	0.0
Catenibacterium_mitsuokai	0.0	0.0	0.0	0.0	0.01971	0.0	0.01537	0.0
Phascolarctobacterium_succinatutens	0.0	0.0	0.0	0.0	0.0	0.0	0.00457	0.0
Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.10341	0.0	1.06591	0.0
Escherichia_coli	0.0	0.0	0.0	0.0	0.04369	0.0	0.32359	0.0
Escherichia_unclassified	0.00792	0.0	0.00517	0.0	0.0	0.0	0.2014	0.0
Pseudomonas_aeruginosa	0.0	0.0	0.0	0.0	0.05713	0.0	0.66731	0.0
