isolation_source,collection_date,Cohort,phylo_entropy,quadratic,unrooted_pd,rooted_pd,bwpd
14284,t10,ColiGuard,3.57652980475288,0.931946963914002,343.460883426029,343.460440648699,2.098813356319
29644,t10,D-Scour,3.39024820663847,0.902789529791687,336.392319329975,336.391998585574,2.03275161611175
408216,tM,Sows,3.2602293535366,0.856833189442922,331.607594053926,331.60735591386,1.94262254411483
29924,t10,ColiGuard,3.43026711450828,0.901297814732256,306.02223991239,306.022443482362,2.01092645454865
315132,tM,Sows,3.47679491656186,0.953221015318743,349.332229351306,349.331685210031,2.153479112072
14183,t10,ColiGuard,3.40000586825078,0.929638227933455,314.684790787781,314.684844805956,2.12258241775742
29643,t10,Neomycin+ColiGuard,3.17277389747935,0.843356690100477,292.041330719471,292.041775658309,1.88808021057613
29781,t10,Neomycin,3.17025212695789,0.922126415900751,241.167853275566,241.169176503033,2.12852725441315
Y08843,tM,Sows,3.45913116358498,1.04236864515957,292.866664724037,292.867095414164,2.51799633684007
32719,tM,Sows,3.3591236515538,0.958441474794755,336.529183762893,336.52886065564,2.24996442810567
14162,t5,ColiGuard,3.19394768239826,0.937772583832914,297.344481877786,297.344835262093,2.3268667528028
14205,t10,D-Scour,3.40093733303798,0.931941531594047,308.440178227273,308.440340053534,2.14332763494534
29946,t2,Neomycin,3.58352714998359,0.913786718307023,398.929687890331,398.928287489839,2.07688534291064
14295,t10,Neomycin+D-Scour,3.38351212592124,0.946271991633297,277.268266778452,277.268966762054,2.17076850725936
29943,t5,Neomycin+ColiGuard,3.67811626319163,0.964326850233164,365.653658594023,365.652832676733,2.159526800573
29792,t5,D-Scour,3.24428085888738,0.929467653086893,306.725916643251,306.726108064824,2.28380268519455
210747,tM,Sows,3.39089568825884,0.878671115658912,350.825295892229,350.824725974391,1.98738366716979
P03694,tM,Sows,3.19586740860604,0.834613914366145,332.23799992676,332.237750903256,1.88464495894462
B11439,tM,Sows,3.32555684123438,0.857826217530554,356.718761321816,356.718089658158,1.95923311712351
14186,t10,Neomycin+ColiGuard,3.37768479133787,0.909391971464053,285.912845556591,285.913396298671,2.04724344110817
14286,t10,Control,3.4480444607519,0.900907774159543,329.148181668461,329.147985988122,2.05833087002665
315286,tM,Sows,3.2149851553971,0.845407934115193,319.696240983008,319.696208482629,1.91473940886622
14305,t10,Neomycin,3.24471251330096,0.886432814409511,281.721199489852,281.721822597244,2.0167992949127
14182,t2,Control,3.45837008869787,0.949764973363864,295.919156318813,295.91953431019,2.10612612251663
14201,t5,Neomycin+D-Scour,3.22709419763077,0.931068014545408,273.129154534449,273.129925976411,2.14131173877834
R03999,tM,Sows,3.29008166403387,0.859613450795495,332.179936227946,332.179688206864,1.93382871134553
29961,t10,Neomycin+D-Scour,3.29059283373416,0.900803473616421,280.143802338748,280.1444526786,2.0618586883189
32810,tM,Sows,3.20759023373282,0.856540930629384,320.875487056533,320.875434197443,1.96738926845223
29865,t10,Neomycin+D-Scour,3.40276618463237,0.926320166905414,296.571681695957,296.572048422021,2.12446460652558
B12474,tM,Sows,3.51390583680332,0.871321186760844,388.316473228604,388.315256056511,1.95735092835534
NegativeControl,tNONE,,3.21366280932432,0.920921591364234,227.401143616952,227.403257018015,2.10986571772093
14261,t10,Neomycin+ColiGuard,3.48356507525911,0.913615056996469,327.117334679002,327.117174059561,2.05749777008009
29745,t5,Neomycin+ColiGuard,3.13532219743769,0.904091113652719,332.933381843504,332.933120814806,2.34567835529993
315649,tM,Sows,3.5132356365296,0.905956572325001,353.353831728662,353.353218157738,2.04337621172658
29666,t10,Control,3.37269804692832,0.944433694560787,307.16830672945,307.168490513523,2.19053663191736
14274,t10,Neomycin+ColiGuard,3.23093365004632,0.890239784233433,275.216682753702,275.217418156211,2.04321164877417
14262,t10,D-Scour,3.4808956334909,0.948236318528745,278.86087108877,278.861543577372,2.14673203102328
29742,t10,D-Scour,3.21829071945901,0.920477163562648,307.712999523083,307.713173903485,2.22726502585791
B11614,tM,Sows,3.3818309455736,0.96453979717537,292.378653160198,292.379092275442,2.21153897871842
319096,tM,Sows,3.56452299645927,1.02765792272353,301.090972920287,301.091261624516,2.35706405456965
40486,tM,Sows,3.50056998728894,0.933925414841331,345.459933628043,345.459456338759,2.1316539505089
29653,t10,Neomycin,3.23277386096739,0.897745077482192,288.610042613388,288.610546790585,2.06648702135537
317019,tM,Sows,3.46428829789462,0.995460562354827,281.63686887967,281.637493442961,2.2864459776176
