ID	plate_3_F10_S270_R1_001_profile	plate_5_C4_S411_R1_001_profile	plate_6_F3_S502_R1_001_profile	plate_7_B6_S618_R1_001_profile	plate_9_F3_S790_R1_001_profile
Methanobrevibacter_smithii	0.0	65.21111	0.0	5.36786	0.0
Corynebacterium_ammoniagenes	0.0	0.0	0.0	0.0	0.07635
Corynebacterium_casei	0.0	0.0	0.0	0.0	0.0131
Corynebacterium_glutamicum	0.0	0.0	0.0	0.0	0.17131
Corynebacterium_maris	0.0	0.0	0.0	0.0	0.00596
Corynebacterium_pilosum	0.0	0.0	0.0	0.0	0.04291
Dietzia_unclassified	0.0	0.0	0.0	0.0	1.55246
Collinsella_aerofaciens	0.0	0.0	0.0	2.63656	1.31965
Olsenella_unclassified	0.0	0.0	0.0	0.0	0.03687
Bacteroides_cellulosilyticus	0.0	0.0	0.0	0.17258	0.0
Bacteroides_eggerthii	0.0	0.0	0.0	0.03481	0.0
Bacteroides_fragilis	0.0	0.0	0.0	0.21914	0.0
Bacteroides_vulgatus	0.0	0.1135	0.0	0.663	0.0
Parabacteroides_goldsteinii	0.0	0.57536	0.0	0.0	0.0
Parabacteroides_unclassified	0.0	0.33214	0.0	0.13942	0.06689
Alloprevotella_unclassified	0.0	0.03364	0.0	0.0	0.0
Prevotella_copri	0.0	0.00799	0.0	1.32454	0.39941
Prevotella_stercorea	0.0	0.56943	0.0	0.9009	0.01613
Alistipes_indistinctus	0.0	0.60393	0.0	0.0	0.0
Alistipes_onderdonkii	0.0	0.0	0.0	4.03594	0.0
Alistipes_shahii	0.0	0.12501	0.0	0.01537	0.0
Alistipes_unclassified	0.0	0.0	0.0	0.40107	0.0
Enterococcus_cecorum	0.0	0.23829	0.0	0.29856	0.0
Enterococcus_faecalis	0.0	0.0	0.0	0.031	0.0
Enterococcus_faecium	0.0	0.0	0.0	0.0	0.01968
Enterococcus_hirae	0.0	0.0	0.0	0.0	0.6466
Lactobacillus_amylovorus	0.0	0.26325	0.0	0.2889	22.14389
Lactobacillus_johnsonii	0.0	0.0	0.0	0.0	17.72583
Lactobacillus_mucosae	0.0	0.0	0.0	0.0	0.09701
Lactobacillus_reuteri	0.0	5.737	0.0	0.87959	19.3589
Lactobacillus_ruminis	0.0	0.0	0.0	0.0	0.00583
Lactobacillus_salivarius	0.0	0.0	0.0	0.0	0.14685
Lactobacillus_vaginalis	0.0	0.43554	0.0	1.06677	0.0
Clostridium_clostridioforme	0.0	0.0	0.0	0.38123	0.0
Clostridium_scindens	0.0	0.0	0.0	0.0193	0.0
Pseudoflavonifractor_capillosus	0.0	0.04419	0.0	0.63625	0.0
Eubacterium_hallii	0.0	0.0	0.0	0.0	0.88776
Eubacterium_rectale	0.0	0.0	0.0	0.00259	0.54928
Eubacterium_siraeum	0.0	0.0	0.0	0.1719	0.0
Ruminococcus_obeum	0.0	0.0	0.0	0.00948	0.69097
Ruminococcus_torques	0.0	0.14573	0.0	0.2113	0.09479
Butyrivibrio_crossotus	0.0	0.0	0.0	0.0	0.01887
Butyrivibrio_unclassified	0.0	0.15749	0.0	0.19278	0.16256
Coprococcus_catus	0.0	0.0	0.0	0.0	1.24317
Dorea_formicigenerans	0.0	0.0	0.0	0.0	0.98316
Dorea_longicatena	0.0	0.0	0.0	0.0	0.98693
Dorea_unclassified	0.0	0.21248	0.0	0.0	0.0
Lachnospiraceae_bacterium_2_1_58FAA	0.0	0.0	0.0	0.0	0.01147
Lachnospiraceae_bacterium_5_1_57FAA	0.0	0.0	0.0	0.76753	0.0
Roseburia_hominis	0.0	0.0	0.0	5.1369	0.0
Roseburia_inulinivorans	0.0	0.0	0.0	0.18481	0.01933
Roseburia_unclassified	0.0	0.08593	0.0	0.0	0.01519
Oscillibacter_unclassified	0.0	0.79472	0.0	0.20702	0.13584
Clostridium_bartlettii	0.0	0.0	0.0	0.0	0.07848
Clostridium_glycolicum	0.0	0.0	0.0	0.0	0.08938
Peptostreptococcaceae_noname_unclassified	0.0	0.18098	0.0	0.3936	14.31084
Faecalibacterium_prausnitzii	0.0	0.0	0.0	0.29304	4.70106
Ruminococcaceae_bacterium_D16	0.0	3.53852	0.0	8.31594	0.0
Ruminococcus_bromii	0.0	0.0	0.0	0.36349	0.34647
Ruminococcus_callidus	0.0	0.0	0.0	0.02747	0.0
Ruminococcus_champanellensis	0.0	0.10723	0.0	0.0	0.0
Subdoligranulum_unclassified	0.0	5.03232	0.0	21.09061	5.78656
Subdoligranulum_variabile	0.0	0.0	0.0	3.01368	0.0
Catenibacterium_mitsuokai	0.0	0.0	0.0	0.9296	0.26244
Erysipelotrichaceae_bacterium_21_3	0.0	0.0	0.0	0.0	0.0472
Eubacterium_biforme	0.0	0.0	0.0	0.56075	1.16363
Acidaminococcus_fermentans	0.0	0.0	0.0	0.14483	0.0
Acidaminococcus_intestini	0.0	0.0	0.0	0.21437	0.0
Phascolarctobacterium_succinatutens	0.0	0.05334	0.0	22.45351	2.13626
Megasphaera_elsdenii	0.0	0.0	0.0	0.14162	0.1105
Megasphaera_unclassified	0.0	0.0	0.0	0.0	0.21345
Mitsuokella_multacida	0.0	0.0	0.0	0.0	0.04406
Mitsuokella_unclassified	0.0	0.0	0.0	0.20105	0.43697
Selenomonas_bovis	0.0	0.0	0.0	0.01436	0.0
Sutterella_parvirubra	0.0	0.0	0.0	0.03609	0.0
Bilophila_unclassified	0.0	0.7793	0.0	0.66989	0.0
Bilophila_wadsworthia	0.0	0.03797	0.0	0.01956	0.0
Desulfovibrio_desulfuricans	0.0	0.12911	0.0	0.57239	0.0
Desulfovibrio_piger	0.0	0.09152	0.0	0.03064	0.0
Campylobacter_coli	0.0	1.5353	0.0	0.0	0.0
Helicobacter_bilis	0.0	0.0	0.0	0.1645	0.0
Escherichia_coli	0.0	9.63319	0.0	9.18998	0.25854
Escherichia_unclassified	0.0	1.95735	0.0	4.25426	0.24405
Klebsiella_unclassified	0.0	0.0	0.0	0.05991	0.0
Treponema_succinifaciens	0.0	1.23714	0.0	0.36711	0.12515
Porcine_type_C_oncovirus	0.0	0.0	0.0	0.08065	0.0
