ID	plate_10_G2_S879_R1_001_profile	plate_3_F4_S222_R1_001_profile	plate_4_D1_S292_R1_001_profile	plate_5_G6_S431_R1_001_profile	plate_6_D4_S508_R1_001_profile	plate_7_A9_S641_R1_001_profile	plate_8_F3_S694_R1_001_profile	plate_9_H5_S808_R1_001_profile
Methanobrevibacter_smithii	0.0	0.0	0.02726	0.0	0.0	0.00718	0.0	0.03346
Methanobrevibacter_unclassified	0.0	0.0	0.01045	0.0	0.00691	0.00824	0.00852	0.04695
Bifidobacterium_bifidum	37.28649	42.22939	19.20128	57.17566	52.28644	26.99792	38.54607	46.34015
Staphylococcus_aureus	0.0	0.0	0.0	0.0	0.0	0.0	0.02747	0.0
Staphylococcus_epidermidis	0.0	0.0	0.0	0.0	0.0	0.0	0.00085	0.0
Enterococcus_cecorum	0.0	0.0	0.0027	0.0	0.0	0.0	0.0	0.0
Enterococcus_faecalis	0.0	0.0	0.00645	0.0	0.0	0.0	0.0	0.0
Enterococcus_faecium	22.68266	36.62908	60.53202	21.36222	17.87672	33.76718	26.99313	28.02952
Lactobacillus_amylovorus	0.0	0.0	0.02113	0.0	0.0	0.0	0.00691	0.0027
Lactobacillus_delbrueckii	6.5809	10.8263	9.44823	5.96169	19.11795	25.82418	8.06742	6.68945
Lactobacillus_helveticus	3.98552	5.99816	3.42208	5.47761	2.53098	4.32328	9.86508	2.36862
Lactobacillus_johnsonii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01988
Lactobacillus_plantarum	23.90702	0.50862	4.54626	2.63586	1.14424	0.80105	6.03426	10.28271
Lactobacillus_reuteri	0.0	0.0	0.01532	0.0	0.0	0.0	0.0	0.06873
Lactobacillus_rhamnosus	1.68729	1.47607	1.00971	2.11846	1.67905	2.76476	4.78437	1.12765
Lactobacillus_salivarius	0.0	0.0	0.0	0.0	0.0011	0.00402	0.00712	0.0
Lactobacillus_vaginalis	0.0	0.0	0.0	0.0	0.0	0.00159	0.0	0.0
Streptococcus_thermophilus	3.87012	2.33238	1.62243	5.26228	5.34542	5.47672	5.41189	4.91043
Peptostreptococcaceae_noname_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03539
Faecalibacterium_prausnitzii	0.0	0.0	0.03196	0.0	0.0	0.0	0.0	0.0
Subdoligranulum_unclassified	0.0	0.0	0.04484	0.0	0.0	0.01664	0.0	0.00439
Catenibacterium_mitsuokai	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00607
Eubacterium_biforme	0.0	0.0	0.00076	0.0	0.0	0.0	0.0	0.0
Phascolarctobacterium_succinatutens	0.0	0.0	0.01711	0.0	0.0	0.0	0.0	0.00204
Megasphaera_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0144
Mitsuokella_unclassified	0.0	0.0	0.03075	0.0	0.0	0.0	0.0	0.0
Enterobacter_cloacae	0.0	0.0	0.0	0.0	0.0	0.0	0.10219	0.0
Escherichia_coli	0.0	0.0	0.0	0.0	0.0	0.00724	0.00978	0.00399
Escherichia_unclassified	0.0	0.0	0.0	0.00623	0.01119	0.0	0.04818	0.01345
Pseudomonas_aeruginosa	0.0	0.0	0.0	0.0	0.0	0.0	0.07868	0.0
Pseudomonas_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.00807	0.0
Porcine_type_C_oncovirus	0.0	0.0	0.00925	0.0	0.0	0.0	0.0	0.0
