DNA_plate,DNA_well,metric,value,analysis
plate_10,A10,unrooted_pd,133.467,100K
plate_10,A10,bwpd,2.03397,100K
plate_10,A1,unrooted_pd,121.151,100K
plate_10,A1,bwpd,1.90828,100K
plate_10,A2,unrooted_pd,120.655,100K
plate_10,A2,bwpd,1.91644,100K
plate_10,A3,unrooted_pd,123.185,100K
plate_10,A3,bwpd,1.98732,100K
plate_10,A4,unrooted_pd,137.278,100K
plate_10,A4,bwpd,2.13546,100K
plate_10,A5,unrooted_pd,105.777,100K
plate_10,A5,bwpd,2.03694,100K
plate_10,A6,unrooted_pd,116.329,100K
plate_10,A6,bwpd,1.85346,100K
plate_10,A7,unrooted_pd,113.192,100K
plate_10,A7,bwpd,2.05784,100K
plate_10,A8,unrooted_pd,110.869,100K
plate_10,A8,bwpd,2.48946,100K
plate_10,A9,unrooted_pd,127.402,100K
plate_10,A9,bwpd,2.18947,100K
plate_10,B10,unrooted_pd,134.597,100K
plate_10,B10,bwpd,2.27277,100K
plate_10,B1,unrooted_pd,114.248,100K
plate_10,B1,bwpd,2.09313,100K
plate_10,B2,unrooted_pd,136.585,100K
plate_10,B2,bwpd,2.06754,100K
plate_10,B3,unrooted_pd,119.339,100K
plate_10,B3,bwpd,2.13462,100K
plate_10,B4,unrooted_pd,120.031,100K
plate_10,B4,bwpd,2.10458,100K
plate_10,B5,unrooted_pd,122.038,100K
plate_10,B5,bwpd,2.23721,100K
plate_10,B6,unrooted_pd,117.125,100K
plate_10,B6,bwpd,1.98644,100K
plate_10,B7,unrooted_pd,109.704,100K
plate_10,B7,bwpd,1.85638,100K
plate_10,B8,unrooted_pd,119.066,100K
plate_10,B8,bwpd,1.79883,100K
plate_10,B9,unrooted_pd,107.459,100K
plate_10,B9,bwpd,1.98931,100K
plate_10,C10,unrooted_pd,143.984,100K
plate_10,C10,bwpd,2.02017,100K
plate_10,C1,unrooted_pd,121.293,100K
plate_10,C1,bwpd,1.97175,100K
plate_10,C2,unrooted_pd,114.569,100K
plate_10,C2,bwpd,1.98761,100K
plate_10,C3,unrooted_pd,120.615,100K
plate_10,C3,bwpd,2.05721,100K
plate_10,C4,unrooted_pd,102.269,100K
plate_10,C4,bwpd,2.05227,100K
plate_10,C5,unrooted_pd,116.871,100K
plate_10,C5,bwpd,1.79395,100K
plate_10,C6,unrooted_pd,117.964,100K
plate_10,C6,bwpd,2.051,100K
plate_10,C7,unrooted_pd,118.815,100K
plate_10,C7,bwpd,1.88113,100K
plate_10,C8,unrooted_pd,119.987,100K
plate_10,C8,bwpd,2.05398,100K
plate_10,C9,unrooted_pd,136.701,100K
plate_10,C9,bwpd,1.86283,100K
plate_10,D10,unrooted_pd,125.532,100K
plate_10,D10,bwpd,2.06603,100K
