comparison,diff,lwr,upr,p adj,time_delta,test,padj_method,variable
D-Scour-Control,0.625695279386198,-11.6667487427831,12.9181393015555,0.99998978968259,t0_t2,anova,TukeyHSD,unrooted_PD
ColiGuard-Control,1.88099675525588,-10.4114472669134,14.1734407774251,0.99773597066874,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin-Control,2.59629456890644,-8.52263940690699,13.7152285447199,0.983868314687709,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Control,2.2032544654992,-9.66881004889417,14.0753189798926,0.994368162778133,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Control,1.52973770341131,-11.2916531726818,14.3511285795044,0.999317691629598,t0_t2,anova,TukeyHSD,unrooted_PD
ColiGuard-D-Scour,1.25530147586968,-11.885873946146,14.3964768978853,0.999769846192235,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin-D-Scour,1.97059928952024,-10.0800025291659,14.0212011082064,0.996894934374325,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-D-Scour,1.577559186113,-11.1712535926496,14.3263719648757,0.999185550215788,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-D-Scour,0.904042424025111,-12.7331997983447,14.541284646395,0.999962080292236,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin-ColiGuard,0.71529781365056,-11.3353040050356,12.7658996323367,0.999978081564111,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-ColiGuard,0.322257710243319,-12.4265550685193,13.071070489006,0.999999688635368,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-ColiGuard,-0.351259051844574,-13.9885012742144,13.2859831705253,0.999999657978258,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Neomycin,-0.393040103407241,-12.0145176337506,11.2284374269361,0.99999866833211,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin,-1.06655686549513,-13.6562704504787,11.5231567194885,0.999872518569157,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin+D-Scour,-0.673516762087893,-13.9330835433723,12.5860500191965,0.999989895041854,t0_t2,anova,TukeyHSD,unrooted_PD
D-Scour-Control,0.578688859022123,-7.84181240147101,8.99919011951526,0.999954734070989,t0_t2,anova,TukeyHSD,BWPD
ColiGuard-Control,-3.46468426757514,-11.7334523566496,4.80408382149933,0.826953199744257,t0_t2,anova,TukeyHSD,BWPD
Neomycin-Control,4.8456971746555,-2.77093279655462,12.4623271458656,0.439304511270141,t0_t2,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Control,0.713107381766012,-7.41942785921722,8.84564262274925,0.999849149014848,t0_t2,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Control,-4.30210074022052,-13.0849382165359,4.48073673609487,0.712327625175,t0_t2,anova,TukeyHSD,BWPD
ColiGuard-D-Scour,-4.04337312659726,-12.9034966460058,4.81675039281132,0.769472295133473,t0_t2,anova,TukeyHSD,BWPD
Neomycin-D-Scour,4.26700831563337,-3.98782755109451,12.5218441823613,0.663241886942732,t0_t2,anova,TukeyHSD,BWPD
