collection_date,Cohort,min,max,mean,sd,n,q25,q75,type
t0,Control,1.91164228810523,2.51630703695367,2.16928370504071,0.134825964443092,30,2.08701918530037,2.22920268769133,bwpd
t0,D-Scour,2.02738263524261,2.56686196163589,2.20792034796361,0.142753469957403,18,2.11361172558289,2.28130731080727,bwpd
t0,ColiGuard,1.99150597674987,2.44301086187263,2.20260961885061,0.113235097142392,18,2.13608124767925,2.25157011187897,bwpd
t0,Neomycin,1.71259478116041,2.3465843047777,2.14159980148976,0.144737600813646,24,2.04674409490484,2.24403667308931,bwpd
t0,Neomycin+D-Scour,1.91888482499902,2.49086002664817,2.15322659396695,0.130058641238791,18,2.08736248683314,2.20163714956139,bwpd
t0,Neomycin+ColiGuard,2.01625773213305,2.6661225180833,2.19017347319322,0.173038230054074,18,2.09480370261466,2.20927706816198,bwpd
t2,Control,1.86279912454758,2.25702648582115,2.06088315487847,0.0835569180661518,23,2.02893694221724,2.10569153976307,bwpd
t2,D-Scour,1.89846556628867,2.372206358884,2.12720806766821,0.122818870919163,18,2.06357393749801,2.19135534390063,bwpd
t2,ColiGuard,1.90154728975669,2.25149634726295,2.03349623308079,0.100233105963346,18,1.97221396375377,2.05186721984352,bwpd
t2,Neomycin,1.89678497549564,2.67906037009124,2.13519055744059,0.154390163644529,24,2.05357273050547,2.16564144915231,bwpd
t2,Neomycin+D-Scour,1.94359965124324,2.24264284066748,2.05172342585749,0.0844409870954264,18,1.99747626658988,2.07508838079514,bwpd
t2,Neomycin+ColiGuard,1.89743571835965,2.16872729773273,2.02281209268549,0.0842994967222625,17,1.96877609172437,2.08480014254108,bwpd
t4,Control,1.99776132206255,2.53379960743276,2.20902570565714,0.133600149570749,18,2.12258708433817,2.2683884673106,bwpd
t4,D-Scour,1.83550381422263,2.47720778104831,2.17020883829172,0.155627064922643,18,2.11064340259421,2.25367716756196,bwpd
t4,ColiGuard,1.90037127354527,2.2607532281283,2.09996457772684,0.107145514860164,18,2.0289639999455,2.19273271900811,bwpd
