interval,mean,sum,sd,n,n_pos,perc_pos,n_neg,perc_neg,type,Cohort.x,dates
A-B,8.0674526943734,919.689607158567,43.1772339418142,114,103,0.903508771929825,11,0.0964912280701754,unrooted_pd,all,t0-t2
B-C,-6.42229695887078,-667.918883722561,14.3451924386882,104,25,0.240384615384615,79,0.759615384615385,unrooted_pd,all,t2-t4
C-D,-2.95604842129499,-206.923389490649,11.1926944062626,70,30,0.428571428571429,40,0.571428571428571,unrooted_pd,all,t4-t6
D-E,-1.7762911034283,-124.340377239981,9.93379521836254,70,30,0.428571428571429,40,0.571428571428571,unrooted_pd,all,t6-t8
A-C,5.4604806189146,573.350464986033,12.6962430553903,105,76,0.723809523809524,29,0.276190476190476,unrooted_pd,all,t0-t4
B-D,-7.77121330641733,-528.442504836378,16.3054429338926,68,20,0.294117647058824,48,0.705882352941177,unrooted_pd,all,t2-t6
A-B,11.2234837642365,246.916642813202,11.6495916077283,22,19,0.863636363636364,3,0.136363636363636,unrooted_pd,Control,t0-t2
A-B,10.943224715701,196.978044882619,5.80446905407922,18,18,1,0,0,unrooted_pd,D-Scour,t0-t2
A-B,-11.9351093640431,-214.831968552775,105.49845855681,18,16,0.888888888888889,2,0.111111111111111,unrooted_pd,ColiGuard,t0-t2
A-B,12.6611770417997,291.207071961393,17.7769400333243,23,21,0.91304347826087,2,0.0869565217391304,unrooted_pd,Neomycin,t0-t2
A-B,12.9312795184781,232.763031332606,9.09246094285293,18,16,0.888888888888889,2,0.111111111111111,unrooted_pd,Neomycin+D-Scour,t0-t2
A-B,11.1104523147682,166.656784721523,8.67538933145527,15,13,0.866666666666667,2,0.133333333333333,unrooted_pd,Neomycin+ColiGuard,t0-t2
B-C,-7.21418921128025,-115.427027380484,12.9641621996261,16,4,0.25,12,0.75,unrooted_pd,Control,t2-t4
B-C,-7.6771230476669,-138.188214858004,13.3534701524441,18,7,0.388888888888889,11,0.611111111111111,unrooted_pd,D-Scour,t2-t4
B-C,-2.49283126128438,-44.8709627031189,23.1154452574023,18,4,0.222222222222222,14,0.777777777777778,unrooted_pd,ColiGuard,t2-t4
B-C,-4.03246056042623,-68.5518295272459,10.9012506233032,17,5,0.294117647058824,12,0.705882352941177,unrooted_pd,Neomycin,t2-t4
B-C,-9.76711118062148,-175.808001251187,11.9456731351984,18,2,0.111111111111111,16,0.888888888888889,unrooted_pd,Neomycin+D-Scour,t2-t4
B-C,-7.35722635308948,-125.072848002521,10.0093123448058,17,3,0.176470588235294,14,0.823529411764706,unrooted_pd,Neomycin+ColiGuard,t2-t4
C-D,-4.54361515187874,-49.9797666706661,12.785713941087,11,5,0.454545454545455,6,0.545454545454545,unrooted_pd,Control,t4-t6
