estimate,statistic,p.value,method,alternative,species,date,taxa_origin,padj_hommel,padj_BY,padj_bonferroni
0.226360704418917,107083.283097856,0.0282466025647441,Spearman's rank correlation rho,two.sided,Acetitomaculum,t0,SortMeRNA,0.0439,0.2262,1
-0.808514373094486,298.40487156059,0.00463528096446272,Spearman's rank correlation rho,two.sided,Alcaligenes,t0,SortMeRNA,0.0289,0.1491,0.4496
0.287507145373302,21984.6795223614,0.0301164769232642,Spearman's rank correlation rho,two.sided,Altererythrobacter,t0,SortMeRNA,0.0439,0.2262,1
0.206471495517716,140336.309546196,0.0373378503212434,Spearman's rank correlation rho,two.sided,Arthrobacter,t0,SortMeRNA,0.0439,0.2262,1
0.286512212342767,149785.345214034,0.00264566328219415,Spearman's rank correlation rho,two.sided,Blautia,t0,SortMeRNA,0.0289,0.1491,0.2566
0.240022253687312,69827.5153089561,0.0298568493098323,Spearman's rank correlation rho,two.sided,Cetobacterium,t0,SortMeRNA,0.0439,0.2262,1
-0.267873978406662,266169.855782824,0.0050653141821616,Spearman's rank correlation rho,two.sided,Collinsella,t0,SortMeRNA,0.0289,0.1491,0.4913
0.209338200488693,165986.794218607,0.0296793317958112,Spearman's rank correlation rho,two.sided,Coprococcus,t0,SortMeRNA,0.0439,0.2262,1
0.476011657458922,19817.2391149036,0.00010556828708976,Spearman's rank correlation rho,two.sided,Coprothermobacter,t0,SortMeRNA,0.0102,0.0528,0.0102
-0.942857142857143,68,0.0166666666666667,Spearman's rank correlation rho,two.sided,Endozoicomonas,t0,SortMeRNA,0.0384,0.1981,1
-0.455932527589243,12282.2468027429,0.00456842292707625,Spearman's rank correlation rho,two.sided,Fluviicola,t0,SortMeRNA,0.0289,0.1491,0.4431
-0.942857142857143,68,0.0166666666666667,Spearman's rank correlation rho,two.sided,Idiomarina,t0,SortMeRNA,0.0384,0.1981,1
0.294637788261028,10707.3983741976,0.0494456791857885,Spearman's rank correlation rho,two.sided,Mycobacterium,t0,SortMeRNA,0.0494,0.255,1
-0.524301010432147,1036.52468709386,0.0370826450453994,Spearman's rank correlation rho,two.sided,Owenweeksia,t0,SortMeRNA,0.0439,0.2262,1
0.300837584680259,146777.962497735,0.00155808872242,Spearman's rank correlation rho,two.sided,Paenibacillus,t0,SortMeRNA,0.0289,0.1491,0.1511
